Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Marshall Islands,4.0,5.533333333333333,3.8,3.083333333333333,12.45,1.3499999999999999,5.183333333333333,2.0833333333333335,3.4833333333333334,4.266666666666667,4.883333333333334,5.216666666666667,6.999999999999999,5.133333333333334,7.65,4.566666666666667,3.4642857142857144,0.2071428571428573,-0.7,-1.1,1.5,6.7,3.7,-1.6,-0.3,2.3,-0.2,3.4,-6.4,2.6,6.8,-0.6,-2.2,3.9,-1.0,1.6,1.4,3.3,3.1,6.8,-1.6,1.7,1.3,3.0,2.0,1.8,1.5,1.5,1.5
Mauritania,5.856818181818182,5.221111111111111,6.223333333333334,5.385555555555555,6.138888888888889,8.12111111111111,7.412222222222223,6.725555555555555,8.90111111111111,7.625555555555556,6.914444444444445,0.0,1.8,5.9,-3.1,9.8,5.8,-4.0,2.8,3.7,-3.9,-0.8,1.4,6.9,4.7,8.6,18.3,-2.0,-0.3,0.1,2.6,4.2,4.5,4.2,4.3,5.4,1.3,6.3,4.8,5.4,-0.9,2.4,5.0,4.4,5.1,6.5,4.0,5.1,4.0
Mauritius,-10.1,5.9,5.5,0.4,4.8,6.9,9.7,10.2,6.8,4.5,7.2,4.4,6.5,5.1,4.1,4.3,5.6,5.7,6.1,2.6,8.2,3.2,1.6,6.0,4.3,1.5,4.5,5.7,5.4,3.3,4.4,4.1,3.5,3.4,3.8,3.7,3.9,3.9,4.0,2.9,-14.6,3.5,8.3,4.6,4.1,3.6,3.4,3.3,3.3
Mexico,9.5,8.5,-0.5,-3.5,3.4,2.2,-3.1,1.7,1.3,4.1,5.2,4.2,3.5,2.7,4.9,-6.3,6.8,6.8,5.2,2.8,4.9,-0.4,0.0,1.4,3.9,2.3,4.5,2.3,1.1,-5.3,5.1,3.7,3.6,1.4,2.8,3.3,2.6,2.1,2.2,-0.2,-8.0,4.7,3.1,1.8,1.6,1.9,1.8,1.8,1.8
Middle East (Region),-3.5,0.4,-2.4,-1.1,-1.4,-1.6,1.9,-0.5,2.8,4.3,12.1,10.5,7.4,1.6,1.9,2.7,4.2,3.2,2.9,1.1,6.1,0.8,2.3,12.4,10.5,4.7,5.8,5.2,4.6,0.3,5.2,6.7,3.8,2.9,3.7,2.5,5.4,0.6,1.5,0.4,-3.6,4.3,6.2,2.7,3.0,2.9,2.9,3.0,3.0
Middle East and Central Asia,-1.9,-0.2,0.4,0.7,0.3,1.2,2.0,-0.1,3.3,4.3,8.7,8.5,4.9,0.2,1.4,1.7,4.5,3.0,3.6,2.3,5.5,2.5,3.1,10.2,8.8,5.9,6.2,5.9,4.9,1.2,5.0,4.7,5.1,3.0,3.4,3.0,4.3,2.2,2.8,1.6,-2.7,4.6,5.3,2.9,3.5,3.6,3.6,3.7,3.7
Moldova,-1.9846033352612302,-1.9846033352612302,-0.15000000000000036,0.14999999999999947,-1.1500000000000004,-2.45,-0.5500000000000003,-1.3500000000000005,1.1499999999999995,-1.1500000000000004,-6.45,-17.5,-29.7,-1.2,-30.9,-1.4,-5.9,1.6,-6.5,-3.4,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3.0,7.8,-6.0,7.1,5.8,-0.6,9.0,5.0,-0.3,4.4,4.2,4.1,3.6,-8.3,13.9,-5.6,2.0,4.3,5.0,5.1,5.1,5.1
Mongolia,6.4,8.4,8.3,5.8,5.9,5.7,9.4,3.5,5.1,4.2,-2.5,-9.2,-9.3,-3.2,2.1,6.4,2.2,3.9,3.3,3.1,1.1,4.6,5.3,7.4,9.4,6.5,8.2,8.8,7.8,-2.1,7.3,17.3,12.3,11.6,7.9,2.4,1.5,5.6,7.7,5.6,-4.6,1.6,4.8,4.5,5.5,6.0,5.5,5.0,5.0
Montenegro,5.592291666666666,4.0676762820512815,4.396736111111111,5.037476851851851,6.004143518518518,5.4485879629629625,6.322662037037036,6.2819212962962965,6.222662037037036,6.452291666666666,4.352291666666666,0.22562499999999996,-0.1573857526881728,-0.06612938596491214,2.3797916666666663,5.25473069105691,6.870896317829457,6.940663759689922,6.541180555555556,5.81673611111111,7.67673611111111,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1,4.1,-15.3,13.0,6.4,3.2,3.0,3.0,3.0,3.0,3.0
Morocco,3.8,-2.8,9.6,-0.6,4.3,6.3,8.3,-2.5,10.4,2.4,4.0,7.2,-2.1,-0.7,10.6,-5.4,12.4,-1.6,7.2,1.1,1.9,7.3,3.1,6.0,4.8,3.3,7.6,3.5,5.9,4.2,3.8,5.2,3.0,4.5,2.7,4.3,0.5,5.1,3.1,2.9,-7.2,7.9,1.1,3.0,3.1,3.1,3.2,3.4,3.4
Mozambique,4.2,5.0,-6.9,-15.7,-6.5,1.0,-2.3,14.7,8.2,6.5,1.0,6.6,-6.1,10.6,6.5,2.3,11.2,11.3,9.9,11.7,1.2,12.1,9.3,6.9,7.9,6.6,9.7,7.7,7.3,6.3,6.5,7.4,7.3,7.0,7.4,6.7,3.8,3.7,3.4,2.3,-1.2,2.3,4.1,5.0,8.2,5.1,5.0,15.5,14.5
Myanmar,14.12857142857143,15.857142857142858,13.2,13.142857142857142,13.257142857142856,9.957142857142857,10.912500000000001,12.912500000000001,14.78888888888889,15.311111111111112,14.155555555555557,13.855555555555556,14.477777777777778,14.411111111111111,15.511111111111111,15.111111111111112,14.777777777777779,12.37777777777778,6.055555555555556,8.4,12.4,12.5,9.9,13.2,15.3,13.6,13.3,12.5,7.6,4.4,5.2,5.5,6.5,7.9,8.2,7.5,6.4,5.8,6.4,6.8,3.2,-17.9,2.0,2.6,2.6,2.5,2.6,2.9,3.4
Namibia,-2.634235949235949,-3.26994301994302,-2.2677207977207976,-3.1054985754985753,-2.3521652421652415,-0.3699430199430207,-1.0788319088319085,-1.7654985754985755,0.41005698005697955,-0.8654985754985756,-1.5766096866096864,5.3,9.3,-1.6,3.0,4.1,3.2,4.2,3.3,3.4,3.5,2.4,6.7,3.5,6.6,4.7,3.9,3.6,2.6,0.3,6.0,5.1,5.1,5.6,6.1,4.3,0.0,-1.0,1.1,-0.8,-8.0,2.7,3.8,2.8,2.6,2.6,2.6,2.6,2.6
Nauru,4.800000000000001,6.333333333333333,4.6,3.8833333333333333,13.249999999999998,2.15,5.9833333333333325,2.8833333333333333,4.283333333333333,5.066666666666666,5.683333333333334,6.016666666666667,7.799999999999999,5.933333333333334,8.450000000000001,5.366666666666667,4.264285714285714,1.0071428571428573,4.8125,3.7625,2.8,3.0,4.470000000000001,3.84,3.55,-8.0,-8.3,-6.8,63.3,-6.0,-0.3,9.3,30.6,5.0,14.7,-5.7,8.0,-5.9,7.2,9.1,4.1,2.7,3.0,1.0,2.0,2.5,2.3,2.2,2.2
Nepal,-2.3,8.3,3.8,-3.0,9.7,6.1,4.6,1.7,7.7,4.3,4.6,6.4,4.1,3.8,8.2,3.5,5.3,5.3,2.9,4.5,6.1,5.6,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,4.8,3.4,4.7,3.5,6.0,4.0,0.4,9.0,7.6,6.7,-2.4,4.2,5.8,4.4,5.1,5.2,5.2,5.2,5.2
Netherlands,2.1564102564102567,-0.5,-1.3,1.8,3.1,2.7,3.1,1.9,4.6,4.5,4.2,2.5,1.6,1.3,3.0,2.8,3.5,4.3,4.7,5.0,4.2,2.3,0.2,0.2,2.0,2.0,3.5,3.8,2.2,-3.7,1.3,1.5,-1.0,-0.1,1.4,2.0,2.2,2.9,2.4,2.0,-3.9,4.9,4.5,1.0,1.2,1.5,1.6,1.5,1.6
New Zealand,1.0,3.0,2.9,-0.1,6.9,1.2,1.8,2.4,0.6,0.4,0.0,-1.3,0.7,5.2,5.6,4.9,4.1,2.5,0.4,4.5,4.2,2.5,4.7,4.4,4.8,3.2,2.8,3.5,-0.3,-1.1,1.8,1.8,2.5,2.3,3.8,3.7,3.9,3.5,3.5,3.1,-1.5,6.1,2.4,1.1,0.8,2.4,2.4,2.5,2.5
Nicaragua,4.6,5.4,-0.8,4.6,-1.6,-4.1,-1.0,-0.7,-12.4,-1.7,-0.1,-0.2,0.4,-0.4,5.0,5.9,6.3,4.0,3.7,7.0,4.1,3.0,0.8,2.5,5.3,4.3,3.8,5.1,3.4,-3.3,4.4,6.3,6.5,4.9,4.8,4.8,4.6,4.6,-3.4,-3.8,-1.8,10.3,4.0,3.0,3.3,3.5,3.5,3.5,3.5
Niger,4.9,-0.2,2.2,-3.9,-16.8,7.7,6.4,0.1,6.9,1.0,-1.3,-0.4,2.0,0.3,1.9,2.5,0.1,1.5,10.0,-0.2,-1.2,7.3,4.9,2.2,0.4,7.3,5.9,3.1,7.7,2.0,8.6,2.4,10.5,5.3,6.6,4.4,5.7,5.0,7.0,6.1,3.5,1.4,11.1,6.1,13.0,6.7,6.2,6.0,6.0
Nigeria,6.206818181818182,5.571111111111111,6.573333333333333,5.735555555555555,6.488888888888889,8.47111111111111,7.762222222222222,7.075555555555555,9.251111111111111,7.975555555555555,7.264444444444445,-0.6,2.2,1.6,0.3,1.9,4.1,2.9,2.5,0.5,5.5,6.7,14.6,9.5,10.4,7.0,6.7,7.3,7.2,8.4,11.3,4.9,4.3,5.4,6.3,2.7,-1.6,0.8,1.9,2.2,-1.8,3.6,3.3,3.2,3.0,3.0,3.0,3.0,3.0
North Africa,0.3,-3.6,5.5,3.6,3.5,5.3,0.5,-0.7,3.3,4.1,2.5,4.8,0.0,-0.3,3.4,0.3,5.2,2.6,5.7,4.0,4.3,3.8,3.0,6.3,4.6,5.4,4.6,5.5,4.7,2.8,4.5,-0.6,9.9,1.8,1.7,3.7,3.1,4.6,4.2,2.9,-1.8,5.4,4.1,4.0,4.3,4.6,4.6,4.6,4.7
North America,1.0,3.3,-1.8,3.5,6.7,4.0,2.7,3.3,3.9,3.6,2.1,0.2,3.3,2.8,4.2,1.8,3.9,4.7,4.5,4.6,4.2,0.9,1.6,2.6,3.8,3.3,2.9,2.0,0.3,-2.9,3.0,1.9,2.4,1.8,2.4,2.6,1.7,2.3,2.8,2.0,-3.4,5.7,2.3,1.6,1.1,1.8,2.0,2.0,2.1
North Macedonia ,-0.1599999999999997,-1.6846153846153846,-1.3555555555555554,-0.7148148148148148,0.25185185185185155,-0.3037037037037038,0.57037037037037,0.5296296296296301,0.4703703703703703,0.6999999999999997,-1.4,-5.526666666666666,-5.909677419354839,-7.5,-1.8,-1.1,1.2,1.4,3.4,4.3,4.5,-3.1,1.5,2.2,4.7,4.7,5.1,6.5,5.5,-0.4,3.4,2.3,-0.5,2.9,3.6,3.9,2.8,1.1,2.9,3.9,-4.7,3.9,2.2,1.4,3.6,3.9,3.8,3.8,3.5
Norway,4.5,1.6,0.2,4.0,6.1,5.6,4.0,1.8,-0.3,1.0,1.9,3.1,3.6,2.8,5.1,4.2,5.0,5.3,2.7,2.1,3.3,2.1,1.4,0.9,4.0,2.7,2.5,2.9,0.5,-1.9,0.8,1.1,2.7,1.0,2.0,1.9,1.2,2.5,0.8,1.1,-1.3,3.9,3.3,2.1,2.5,1.8,1.5,1.3,1.4
Oman,6.1,17.1,11.5,15.9,13.9,14.5,2.1,-4.0,5.2,3.0,8.4,6.0,8.5,6.1,3.8,4.8,2.9,6.2,2.7,0.3,6.2,4.6,-0.8,-2.2,2.0,2.8,4.7,5.0,9.0,6.0,2.5,2.9,8.9,5.2,1.3,5.0,5.0,0.3,1.3,-1.1,-3.2,2.9,4.3,1.7,5.2,2.3,2.5,2.6,2.6
Other advanced economies,3.8,4.2,2.2,4.0,6.6,4.3,5.5,6.5,5.5,4.6,4.3,3.7,4.0,4.2,6.2,5.3,4.9,4.7,1.0,5.5,5.9,2.2,3.9,2.8,5.3,4.2,4.8,5.2,1.8,-0.9,6.0,3.4,2.2,2.5,3.0,2.3,2.6,3.1,2.8,2.0,-1.6,5.4,2.6,1.8,2.2,2.3,2.3,2.2,2.3
Pacific Islands ,-1.9,2.5,0.3,1.0,3.9,1.1,5.6,-0.1,2.8,4.0,0.5,5.0,10.6,9.1,8.6,-0.6,5.7,-4.4,3.4,3.7,-2.1,0.4,1.0,6.1,2.3,2.7,2.4,4.8,0.6,4.0,7.7,1.9,3.4,3.9,10.5,5.7,4.8,3.9,0.9,3.0,-6.2,-1.2,6.2,4.4,4.4,3.5,3.3,3.2,3.2
Pakistan,6.9,6.2,7.6,6.8,4.0,8.7,6.4,5.8,6.4,4.8,4.6,5.1,7.6,2.1,4.4,5.1,6.6,1.7,3.5,4.2,3.9,2.0,3.1,4.7,7.5,9.0,5.8,5.5,5.0,0.4,2.6,3.6,3.8,3.7,4.1,4.1,4.6,4.6,6.1,3.1,-0.9,5.7,6.0,0.5,3.5,4.4,4.8,5.0,5.0
Palau,1.5500000000000003,3.083333333333333,1.35,0.6333333333333332,9.999999999999998,-1.1,2.733333333333333,-0.3666666666666667,1.0333333333333337,1.8166666666666669,2.4333333333333336,2.7666666666666666,4.549999999999999,2.6833333333333336,5.2,2.116666666666667,1.0142857142857142,-2.242857142857143,1.5625000000000004,0.5125000000000001,-0.4500000000000002,6.5,5.1,-3.4,4.1,3.7,0.0,0.9,-5.3,-6.8,-1.7,4.1,1.9,-1.6,4.4,9.6,3.7,-3.4,0.0,0.4,-7.5,-12.1,-2.9,8.7,9.6,4.9,3.5,3.2,3.2
Panama,4.5,9.2,5.3,-4.5,2.7,4.9,3.6,-1.8,-13.4,1.6,8.1,9.4,8.2,5.5,2.8,1.8,7.4,6.5,7.3,3.9,2.7,0.6,2.2,4.2,7.5,7.2,8.5,12.1,9.9,1.2,5.8,11.3,9.8,6.9,5.1,5.7,5.0,5.6,3.7,3.0,-17.9,15.3,10.0,5.0,4.0,4.0,4.0,4.0,4.0
Papua New Guinea,-2.3,1.1,0.8,3.4,-1.0,3.6,5.7,2.8,2.9,-1.4,-3.1,9.6,13.8,13.3,10.5,-3.4,6.6,-6.3,4.7,1.9,-2.5,-0.1,-0.2,9.0,0.6,4.3,2.5,7.8,-0.3,6.8,10.1,1.1,4.7,3.8,13.5,6.6,5.5,3.5,-0.3,4.5,-3.2,0.1,4.5,3.7,4.4,3.1,3.1,3.0,3.1
Paraguay,11.7,9.2,-1.4,-3.0,2.8,3.9,0.3,4.1,5.9,5.8,4.1,3.5,1.7,4.9,5.3,6.8,1.6,4.2,0.1,-1.4,-2.3,-0.8,0.0,4.3,4.1,2.1,4.8,5.4,6.5,-0.3,11.1,4.3,-0.7,8.3,5.3,3.0,4.3,4.8,3.2,-0.4,-0.8,4.0,0.2,4.5,3.5,3.5,3.5,3.5,3.5
Peru,7.7,5.5,-0.3,-9.3,3.8,2.1,12.1,7.7,-9.4,-13.4,-5.1,2.2,-0.5,5.2,12.3,7.4,2.8,6.5,-0.4,1.5,2.7,0.6,5.5,4.2,5.0,6.3,7.5,8.5,9.1,1.1,8.3,6.3,6.1,5.9,2.4,3.3,4.0,2.5,4.0,2.2,-11.0,13.6,2.7,2.4,3.0,3.0,3.0,3.0,3.0
Philippines,5.1,3.4,3.6,1.9,-7.3,-7.3,3.4,4.3,6.8,6.2,3.0,-0.4,0.4,2.2,4.4,4.6,5.9,5.2,-0.5,3.3,4.4,3.0,3.7,5.1,6.6,4.9,5.3,6.5,4.3,1.4,7.3,3.9,6.9,6.8,6.3,6.3,7.1,6.9,6.3,6.1,-9.5,5.7,7.6,6.0,5.8,6.1,6.2,6.3,6.4
Poland,-6.0,-10.0,-4.8,5.6,-0.4,3.9,3.5,2.3,3.3,3.8,-7.2,-7.0,2.0,4.3,5.2,6.7,6.2,7.1,5.0,4.5,4.3,1.2,1.4,3.5,5.0,3.5,6.1,7.1,4.2,2.8,2.9,5.0,1.5,0.9,3.8,4.4,3.0,5.1,5.9,4.4,-2.0,6.8,4.9,0.3,2.4,3.7,3.4,3.1,3.1
Portugal,6.7,3.5,2.2,1.0,-1.0,1.6,3.3,7.6,5.3,6.6,7.9,3.4,3.1,-0.7,1.5,2.3,3.5,4.4,4.8,3.9,3.8,1.9,0.8,-0.9,1.8,0.8,1.6,2.5,0.3,-3.1,1.7,-1.7,-4.1,-0.9,0.8,1.8,2.0,3.5,2.8,2.7,-8.3,5.5,6.7,1.0,1.7,2.1,1.9,1.9,1.9
Puerto Rico,1.9307692307692308,1.1,-3.0,0.5,7.3,2.1,8.2,4.9,6.5,4.9,3.8,2.3,4.6,4.6,4.2,4.5,2.3,4.9,6.5,4.4,3.3,9.5,2.2,2.3,2.0,-2.0,-1.4,-1.2,-1.8,-2.0,-0.4,-0.4,0.0,-0.3,-1.2,-1.0,-1.3,-2.9,-4.4,1.7,-4.4,0.2,4.8,0.4,-1.6,-1.0,-0.5,-0.5,-0.5
Qatar,-1.0,-3.9,-8.2,-5.3,16.0,-13.0,3.7,0.9,4.7,5.3,-14.6,-1.5,10.4,-0.9,1.9,0.4,4.2,27.7,10.3,3.8,6.9,4.5,6.9,4.0,19.2,7.8,28.1,18.2,17.5,13.1,17.7,11.3,4.7,5.6,5.3,4.8,3.1,-1.5,1.2,0.7,-3.6,1.6,4.2,2.4,1.8,3.3,2.9,3.7,3.6
"Congo, Republic of ",12.7,2.6,2.4,2.4,2.4,2.4,2.3,2.3,21.9,21.3,1.0,3.4,4.2,1.3,-1.4,4.0,3.5,-1.0,8.9,-3.7,11.8,-4.8,1.0,0.5,-0.2,9.2,8.0,-6.6,6.3,11.6,9.9,2.2,9.9,-0.7,6.7,-3.6,-10.8,-4.4,-4.8,1.0,-6.2,1.5,2.8,4.1,4.6,3.5,4.0,4.1,4.0
"Korea, Republic of",-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12.0,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3.0,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.7,4.1,2.6,1.5,2.4,2.3,2.3,2.2,2.2
"South Sudan, Republic of",3.056818181818182,2.421111111111111,3.423333333333334,2.5855555555555556,3.3388888888888895,5.321111111111111,4.612222222222223,3.9255555555555555,6.101111111111111,4.825555555555556,4.114444444444445,3.396938775510204,2.8316326530612246,3.0480000000000005,2.8520000000000003,5.6,6.0440000000000005,7.594,4.74,4.81078431372549,5.640196078431374,6.63846153846154,5.325000000000001,4.967307692307693,6.423076923076923,6.43846153846154,6.33076923076923,6.511538461538462,5.592307692307693,4.086538461538462,7.0307692307692315,5.096153846153847,-50.3,27.3,1.6,-0.2,-13.3,-5.8,-2.1,0.9,-6.5,5.3,6.6,5.6,4.6,4.6,4.4,4.4,4.4
"Türkiye, Republic of",-0.8,4.4,3.4,4.8,6.8,4.3,6.9,10.0,2.1,0.3,9.3,0.9,6.0,8.0,-5.5,7.2,7.0,7.5,3.1,-3.3,6.9,-5.8,6.4,5.8,9.8,9.0,6.9,5.0,0.8,-4.8,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3.0,0.8,1.9,11.4,5.6,2.7,3.6,3.0,3.0,3.0,3.0
Romania,3.3,0.1,3.9,6.0,6.0,-0.1,2.4,0.8,-0.5,-5.8,-5.6,-12.9,-8.8,1.5,3.9,7.1,3.9,-6.1,-4.8,-1.2,2.9,5.1,5.7,2.3,10.3,4.7,8.0,7.2,9.4,-5.6,-3.9,4.5,1.9,0.2,4.1,3.2,2.9,8.2,6.0,3.8,-3.7,5.9,4.8,2.4,3.7,3.8,3.7,3.6,3.5
Russian Federation,-0.03460333526123005,-0.03460333526123005,1.7999999999999998,2.0999999999999996,0.7999999999999998,-0.5000000000000002,1.4,0.5999999999999996,3.0999999999999996,0.7999999999999998,-4.5,-5.0,-14.5,-8.7,-12.7,-4.1,-3.6,1.4,-5.3,6.4,10.0,5.1,4.7,7.3,7.2,6.4,8.2,8.5,5.2,-7.8,4.5,5.1,4.0,1.8,0.7,-2.0,0.2,1.8,2.8,2.2,-2.7,5.6,-2.1,0.7,1.3,1.0,0.8,0.8,0.7
Rwanda,-3.6,2.5,-2.5,6.0,13.0,4.4,5.5,-0.3,0.3,-5.7,0.4,-4.3,6.6,-10.4,-41.9,24.5,11.6,14.9,8.3,3.3,8.4,8.5,13.2,2.2,7.4,9.4,9.2,7.7,11.2,6.2,7.3,8.0,8.6,4.7,6.2,8.9,6.0,4.0,8.6,9.5,-3.4,10.9,6.8,6.2,7.5,7.5,6.8,6.2,7.3
Saint Kitts and Nevis,1.3,2.7,6.1,-2.1,9.7,6.4,8.8,8.3,10.4,6.0,5.5,2.3,3.1,5.4,5.4,3.5,5.9,7.3,1.0,3.9,9.7,5.3,1.4,-3.9,4.0,9.7,3.2,0.6,11.2,-3.4,0.0,1.6,-0.5,5.7,7.6,0.7,3.9,0.9,1.1,4.0,-14.5,-0.9,9.0,4.5,3.8,3.0,2.7,2.7,2.7
Saint Lucia,-0.5,5.1,2.1,4.1,8.0,12.6,14.4,3.9,13.9,9.0,9.9,0.4,8.0,0.6,1.6,1.7,2.9,-0.7,6.3,2.7,0.0,-3.4,0.4,4.3,7.3,-0.4,6.2,1.9,4.9,-1.9,0.5,4.8,-0.4,-2.2,1.3,-0.2,3.8,3.4,2.9,-0.7,-24.4,12.2,14.9,3.0,2.2,2.0,1.7,1.5,1.5
Saint Vincent and the Grenadines,2.9,3.9,2.6,3.2,5.3,4.3,5.4,0.6,13.2,3.3,4.8,2.2,7.1,3.6,-1.2,6.8,1.1,3.7,4.5,2.1,1.8,1.6,4.9,6.1,3.7,2.3,6.5,3.1,0.4,-1.2,-4.3,-0.6,1.1,2.5,1.1,2.8,4.1,1.5,3.2,0.7,-3.7,0.8,5.3,6.0,5.0,3.9,2.8,2.7,2.7
Samoa,-6.1,-9.1,-1.0,0.5,2.0,5.8,4.8,0.5,2.9,5.8,-6.4,-2.4,4.1,1.7,6.4,6.6,7.3,0.8,1.1,-0.6,5.1,7.4,5.7,5.2,3.1,6.6,2.1,0.5,3.6,-0.5,2.5,3.8,-3.7,0.1,0.7,3.9,8.0,1.4,-0.6,4.5,-3.1,-7.1,-6.0,5.0,3.6,3.4,3.0,2.6,2.3
San Marino,0.4400000000000004,-1.0846153846153845,-0.7555555555555553,-0.1148148148148147,0.8518518518518516,0.2962962962962963,1.17037037037037,1.1296296296296302,1.0703703703703704,1.2999999999999998,-0.7999999999999998,-4.926666666666666,-5.3096774193548395,-5.218421052631578,-2.7725,0.102439024390244,1.7186046511627913,1.7883720930232565,7.5,9.0,2.2,5.5,0.3,3.9,4.6,2.4,3.8,7.1,-0.4,-10.1,-5.8,-8.5,-7.2,-0.8,-0.6,2.7,2.3,0.3,1.5,2.1,-6.7,8.3,4.6,1.2,1.0,1.3,1.3,1.3,1.3
Saudi Arabia,5.7,1.9,-20.7,-16.1,-4.7,-9.8,17.0,-6.6,13.1,-0.5,15.2,15.0,4.0,-1.4,0.6,0.2,2.6,1.1,2.9,-3.8,5.6,-1.2,-2.8,11.2,8.0,5.6,2.8,1.8,6.2,-2.1,5.0,11.0,5.4,2.9,4.0,4.7,2.4,-0.1,2.8,0.8,-4.3,3.9,8.7,3.1,3.1,3.0,3.0,3.0,3.0
Senegal,-0.8,5.1,7.8,-5.3,3.7,3.3,3.1,6.1,-0.6,4.0,-0.7,2.6,1.2,1.3,-0.2,6.1,1.9,2.7,6.0,6.0,3.9,4.3,0.1,5.6,4.6,4.3,2.3,2.8,3.7,2.8,3.4,1.3,4.0,2.4,6.2,6.4,6.4,7.4,6.2,4.6,1.3,6.1,4.7,8.3,10.6,4.8,5.1,5.0,6.5
Serbia,7.04,5.515384615384615,5.844444444444444,6.485185185185185,7.451851851851851,6.8962962962962955,7.77037037037037,7.729629629629629,7.67037037037037,7.8999999999999995,5.8,1.6733333333333333,1.2903225806451606,1.3815789473684212,3.8274999999999997,6.702439024390244,8.31860465116279,8.388372093023257,2.4,-12.1,7.8,5.0,7.1,4.4,9.0,10.2,5.1,6.4,5.7,-2.7,0.7,2.0,-0.7,2.9,-1.6,1.8,3.3,2.1,4.5,4.3,-0.9,7.5,2.3,2.0,3.0,4.5,4.0,4.0,4.0
Seychelles,-2.3,-3.9,-2.1,-0.6,4.3,10.3,0.8,4.9,5.3,10.3,7.5,2.8,7.2,7.3,-2.4,0.5,10.0,12.2,2.5,1.9,4.3,-2.3,1.2,-5.9,-2.9,9.0,9.4,10.4,-2.1,-1.1,6.3,5.7,3.8,6.4,4.7,5.6,5.4,4.5,3.2,3.1,-7.7,7.9,8.8,3.9,3.9,3.8,3.8,3.7,3.6
Sierra Leone,-0.6,1.9,1.8,-1.6,1.7,-6.7,0.1,2.4,2.1,5.0,1.6,-8.0,-9.6,0.1,3.5,-10.0,-24.8,-17.6,-0.8,-8.1,3.8,18.2,26.4,9.3,6.6,4.5,4.2,8.1,5.4,3.2,5.3,6.3,15.2,20.7,4.6,-20.5,6.4,3.8,3.5,5.3,-2.0,4.1,2.8,3.1,4.8,5.2,4.6,4.5,4.6
Singapore,10.1,10.8,7.1,8.6,8.8,-0.6,1.3,10.8,11.3,10.2,9.8,6.7,6.6,11.5,11.1,7.2,7.5,8.3,-2.2,5.7,9.0,-1.1,3.9,4.5,9.9,7.4,9.0,9.0,1.9,0.1,14.5,6.2,4.4,4.8,3.9,3.0,3.6,4.5,3.6,1.3,-3.9,8.9,3.6,1.5,2.1,2.5,2.5,2.5,2.5
Slovak Republic,7.140000000000001,5.615384615384616,5.944444444444445,6.5851851851851855,7.551851851851852,6.996296296296297,7.87037037037037,7.829629629629631,7.770370370370371,8.0,5.9,1.7733333333333339,1.3903225806451611,1.4815789473684218,6.2,7.9,6.9,4.4,4.1,-0.1,1.2,3.3,4.5,5.5,5.3,6.6,8.5,10.8,5.6,-5.5,6.7,2.7,1.3,0.6,2.7,5.2,1.9,2.9,4.0,2.5,-3.4,3.0,1.7,1.3,2.7,2.9,2.8,2.7,2.7
Slovenia,4.193192280864915,3.832571365832235,2.5936824769433464,4.268682476943346,6.560349143610013,4.068682476943346,4.80201581027668,6.197961756222626,6.100664458925328,6.841204999465868,4.573637431898302,2.776340134601004,6.86282662108749,2.8,5.3,4.1,3.6,5.0,3.3,5.3,3.7,3.2,3.5,3.0,4.4,3.8,5.7,7.0,3.5,-7.5,1.3,0.9,-2.6,-1.0,2.8,2.2,3.2,4.8,4.5,3.5,-4.3,8.2,5.4,1.6,2.1,2.8,2.9,3.0,3.0
Solomon Islands,-2.7,-1.8,-1.7,3.9,0.2,-3.1,-0.2,8.4,1.3,4.3,2.2,6.0,12.7,4.0,8.1,10.1,1.6,-0.9,1.3,-0.5,-14.3,-8.0,-2.8,6.5,6.7,5.5,4.9,4.4,5.8,2.6,8.6,7.3,1.4,5.2,1.2,1.7,5.6,3.1,2.7,1.7,-3.4,-0.6,-4.1,2.5,2.4,3.0,3.0,3.0,3.0
Somalia,4.158068181818182,3.5223611111111106,4.524583333333333,3.6868055555555554,4.440138888888889,6.42236111111111,5.713472222222222,5.026805555555555,7.20236111111111,5.926805555555555,5.215694444444445,4.498188775510204,3.932882653061224,4.14925,3.9532499999999997,6.701249999999999,7.14525,8.69525,5.84125,5.91203431372549,6.741446078431373,7.739711538461539,6.4262500000000005,6.068557692307692,7.524326923076923,7.539711538461539,7.432019230769229,7.612788461538462,6.693557692307692,5.187788461538461,8.132019230769231,6.197403846153846,1.2,5.7,2.7,4.6,4.7,2.2,3.7,2.7,-0.3,2.9,1.7,2.8,3.7,3.9,4.0,4.1,4.3
