Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Belarus,2.65,2.65,4.0,4.3,3.0,1.7,3.6,2.8,5.3,3.0,-2.3,-1.2,-9.6,-7.6,-11.7,-11.1,2.8,11.4,8.4,3.4,5.8,4.7,5.0,7.0,11.4,9.5,10.0,8.6,10.2,0.2,7.8,5.3,1.6,1.0,1.7,-3.8,-2.5,2.5,3.1,1.4,-0.7,2.3,-4.7,0.7,1.0,1.0,1.0,1.0,1.0
Belgium,4.4,-0.3,0.6,0.3,2.5,1.7,1.8,2.3,4.7,3.5,3.1,1.8,1.5,-1.0,3.2,2.4,1.3,3.8,2.0,3.5,3.7,1.1,1.7,1.0,3.6,2.3,2.6,3.7,0.4,-2.0,2.9,1.7,0.7,0.5,1.6,2.0,1.3,1.6,1.8,2.2,-5.4,6.1,3.1,0.7,1.0,1.0,1.0,1.0,1.0
Belize,5.0,0.2,-7.6,6.1,11.3,-1.4,7.3,22.0,10.9,15.5,11.2,11.5,12.0,6.3,0.2,0.6,1.1,3.6,3.9,9.0,13.0,5.0,5.1,9.3,4.6,2.4,4.4,3.3,-1.5,-0.4,1.3,-0.1,3.9,4.5,4.1,3.4,0.1,-1.7,1.1,4.5,-13.4,15.2,11.4,3.0,3.0,3.0,3.0,3.0,3.0
Benin,9.3,1.9,1.7,-2.0,0.4,4.3,2.7,-2.1,3.4,-2.8,9.0,4.2,3.0,5.8,2.0,6.0,4.3,5.7,4.0,4.4,5.9,5.3,4.6,3.4,4.4,1.7,3.9,6.0,4.9,2.3,2.1,3.0,4.8,7.2,6.4,1.8,3.3,5.7,6.7,6.9,3.8,7.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Bhutan,5.0,13.6,8.2,7.3,7.6,4.3,8.0,20.2,15.1,6.2,9.1,4.9,2.1,3.2,2.2,6.0,6.0,5.5,6.0,7.1,6.9,7.0,9.5,9.3,6.9,6.7,7.1,12.9,11.0,5.8,9.5,9.9,6.5,3.6,4.0,6.2,7.4,6.3,3.8,4.4,-2.3,-3.3,4.3,4.7,5.0,5.0,5.0,5.0,5.0
Bolivia,0.6,0.3,-3.9,-4.0,-0.2,-1.7,-2.6,2.5,2.9,3.8,4.6,5.3,1.6,4.3,4.7,4.7,4.4,5.0,5.0,0.4,2.5,1.7,2.5,2.7,4.2,4.4,4.8,4.6,6.1,3.4,4.1,5.2,5.1,6.8,5.5,4.9,4.3,4.2,4.2,2.2,-8.7,6.1,3.2,1.8,2.0,2.0,2.0,2.0,2.0
Bosnia and Herzegovina,6.54,5.02,5.34,5.99,6.95,6.4,7.27,7.23,7.17,7.4,5.3,1.17,0.79,0.88,3.33,20.7,62.2,22.9,13.8,10.7,4.4,2.4,5.1,3.9,6.3,4.2,5.7,6.0,5.6,-0.8,0.8,0.9,-0.7,2.4,1.1,4.3,3.2,3.2,3.8,2.9,-3.0,7.4,3.8,2.0,3.0,3.0,3.0,3.0,3.0
Botswana,12.0,8.2,15.9,10.8,6.5,7.7,8.6,14.9,23.4,4.7,8.8,6.2,-0.2,4.0,-0.8,8.5,2.5,7.1,-1.6,8.0,4.3,2.3,7.4,5.4,1.4,5.0,6.0,5.8,3.3,-14.1,10.1,6.8,-0.2,11.1,5.7,-4.9,7.2,4.1,4.2,3.0,-8.7,11.8,6.4,3.7,4.0,4.0,4.0,4.0,4.0
Brazil,9.2,-4.4,0.6,-3.4,5.3,7.9,7.5,3.6,0.3,3.2,-4.2,1.0,-0.5,4.7,5.3,4.4,2.2,3.4,0.3,0.5,4.4,1.4,3.1,1.1,5.8,3.2,4.0,6.1,5.1,-0.1,7.5,4.0,1.9,3.0,0.5,-3.5,-3.3,1.3,1.8,1.2,-3.3,5.0,2.9,0.9,2.0,2.0,2.0,2.0,2.0
Brunei Darussalam,5.13,6.86,4.2,4.14,4.26,0.96,-2.7,2.0,1.1,-1.1,1.1,3.1,4.8,0.3,3.1,4.5,2.9,-1.5,-0.6,3.1,2.9,2.7,3.9,2.9,0.5,0.4,4.4,0.2,-1.9,-1.8,2.6,3.7,0.9,-2.1,-2.5,-0.4,-2.5,1.3,0.1,3.9,1.1,-1.6,-1.5,3.3,3.0,3.0,3.0,3.0,3.0
